사용년월	전체일수	작업가능일수	중복일수	공휴일	최고기온	최저기온	강우	풍속	강설	안개	미세먼지	NIS	NOS	FIS	FOS	CIS	COS	NIGT	NOGT	FIGT	FOGT	CIGT	COGT
2013년09월	30	21	0	8	0	0	1	0	0	0	0	680	691	1512	1516	1580	1598	3050938	2917344	42262570	41621817	1457147	1481895
2013년10월	31	23	1	6	0	0	1	1	0	0	1	660	668	1531	1529	1784	1817	3424507	3135380	41030246	40867695	1575554	1617372
2013년11월	30	18	1	4	0	0	2	6	0	0	1	684	697	1548	1547	1824	1798	3393308	3156170	43557945	42998794	1829972	1821896
2013년12월	31	19	1	6	0	0	0	2	0	0	5	701	659	1570	1566	1731	1722	3389512	3003920	42255463	41580345	1632088	1655108
2014년01월	31	17	2	7	0	0	0	0	0	0	9	680	702	1515	1522	1864	1798	3521493	3336757	40974138	41246843	1688569	1749833
2014년02월	28	19	1	5	0	0	1	1	0	0	3	600	600	1278	1278	1541	1581	3009484	2819727	36246039	35624657	1442416	1497363
2014년03월	31	18	2	6	0	0	6	2	0	0	1	694	684	1589	1568	1852	1878	3396725	3088637	42568433	41468551	1659506	1701317
2014년04월	30	21	1	4	0	0	3	0	0	0	3	679	682	1580	1574	1953	1977	3393722	3163524	42189943	42489516	1555315	1575806
2014년05월	31	16	2	6	0	0	3	2	0	1	5	733	724	1574	1587	1826	1834	3469071	3272270	43686348	42777978	1579794	1638120
2014년06월	30	22	0	6	0	0	1	0	0	0	1	710	717	1565	1557	1805	1806	3459853	3187509	44345093	44043498	1709538	1739423
2014년07월	31	19	1	4	0	0	5	3	0	1	0	669	674	1495	1514	1894	1901	3432963	3112929	41045113	41066823	1715842	1763719
2014년08월	31	14	3	6	0	0	11	3	0	0	0	696	683	1495	1504	1713	1713	3363216	3084187	41505478	40851070	1811778	1850499
2014년09월	30	22	1	6	0	0	2	1	0	0	0	675	695	1455	1439	1662	1646	3372697	3254127	41145110	40443645	1591340	1575506
2014년10월	31	21	1	6	0	0	5	0	0	0	0	659	665	1393	1421	1747	1757	3535684	3303755	40434164	40416789	1688680	1743434
2014년11월	30	23	0	5	0	0	1	0	0	0	1	709	688	1470	1452	1862	1854	3737008	3402733	40099882	39752281	1834921	1877608
2014년12월	31	19	1	5	0	0	1	3	0	0	4	680	649	1562	1527	1844	1809	3554737	3110836	41591032	41012263	1818365	1817822
2015년01월	31	21	1	5	0	0	1	1	0	1	3	603	621	1570	1593	1962	1958	3582137	3405294	43911716	43090264	1839990	1889979
2015년02월	28	18	1	7	0	0	1	0	0	0	3	576	583	1419	1414	1623	1615	3136321	2834981	39770788	39746768	1585904	1567858
2015년03월	31	20	1	5	0	0	2	2	0	1	2	631	647	1631	1649	1952	1965	3871356	3663765	45182346	44802360	1752379	1789779
2015년04월	30	16	2	4	0	0	7	3	0	2	0	646	628	1650	1624	1917	1936	3625539	3297801	46707589	46285279	1777873	1788562
2015년05월	31	19	2	7	0	0	4	3	0	0	0	706	710	1670	1695	1905	1898	3408242	3342088	47897204	47394551	1811074	1800947
2015년06월	30	16	2	5	0	0	3	1	0	4	3	703	710	1539	1541	1895	1910	3788387	3509725	46100602	45602563	1798069	1861290
2015년07월	31	15	2	4	0	0	5	4	0	5	0	661	667	1571	1558	1851	1834	3773573	3505301	47405433	47172546	1673123	1766889
2015년08월	31	20	1	6	1	0	3	1	0	1	0	725	721	1630	1635	1691	1697	3940514	3688571	48451788	47711392	1650555	1669712
2015년09월	30	19	1	7	0	0	5	0	0	0	0	648	661	1587	1599	1750	1747	3654936	3431117	48775471	48808455	1678288	1808242
2015년10월	31	22	1	6	0	0	1	2	0	0	1	673	650	1658	1655	1781	1775	4453036	4014219	49530865	48580566	1720732	1732600
2015년11월	30	22	1	5	0	0	3	1	0	0	0	660	666	1590	1575	1691	1711	3676955	3464964	47759902	47614142	1705457	1697188
2015년12월	31	22	1	5	0	0	1	2	0	0	2	667	628	1637	1635	1978	1929	3981847	3645928	50699984	50087388	1854584	1870719
2016년01월	31	18	2	6	0	0	3	2	0	0	4	589	616	1601	1597	1889	1886	3458729	3299037	49304603	48910553	1665603	1682735
2016년02월	29	13	3	7	0	0	2	6	0	1	3	617	627	1499	1498	1676	1683	3616514	3358112	45988355	45551530	1510025	1545357
2016년03월	31	18	2	5	0	0	4	2	0	2	2	693	702	1689	1721	2002	2018	3938372	3741017	50603929	50948782	1670601	1734127
